🇨🇳电视频道,#genre#
上海东方卫视,http://127.0.0.1/itv/5000000004000014098.m3u8?cdn=bestzb
上海东方卫视,http://127.0.0.1/itv/1000000005000265018.m3u8?cdn=ystenlive
上海-ICS-外语,http://127.0.0.1/itv/5000000010000030951.m3u8?cdn=bestzb
上海第一财经,http://127.0.0.1/itv/5000000010000027146.m3u8?cdn=bestzb
上海东方财经,http://127.0.0.1/itv/5000000007000010003.m3u8?cdn=bestzb
上海东方影视,http://127.0.0.1/itv/5000000010000032212.m3u8?cdn=bestzb
上海都市,http://127.0.0.1/itv/5000000010000018926.m3u8?cdn=bestzb
上海法治天地,http://127.0.0.1/itv/2000000002000000014.m3u8?cdn=hnbblive
上海哈哈炫动,http://127.0.0.1/itv/5000000011000031123.m3u8?cdn=bestzb
上海纪实人文,http://127.0.0.1/itv/5000000004000010282.m3u8?cdn=bestzb
上海纪实人文,http://127.0.0.1/itv/1000000005000265021.m3u8?cdn=ystenlive
上海五星体育,http://127.0.0.1/itv/5000000010000017540.m3u8?cdn=bestzb
上海新闻综合,http://127.0.0.1/itv/5000000011000031110.m3u8?cdn=bestzb
深圳卫视,http://127.0.0.1/itv/5000000004000007410.m3u8?cdn=bestzb
深圳卫视,http://127.0.0.1/itv/6000000001000002116.m3u8?cdn=wasusyt
深圳卫视,http://127.0.0.1/itv/1000000005000265028.m3u8?cdn=ystenlive
四川卫视,http://127.0.0.1/itv/5000000004000006119.m3u8?cdn=bestzb
天津卫视,http://127.0.0.1/itv/5000000004000006827.m3u8?cdn=bestzb
天津卫视,http://127.0.0.1/itv/6000000001000009186.m3u8?cdn=wasusyt
天津卫视,http://127.0.0.1/itv/1000000005000265026.m3u8?cdn=ystenlive
云南卫视,http://127.0.0.1/itv/5000000011000031120.m3u8?cdn=bestzb
浙江卫视,http://127.0.0.1/itv/5000000004000007275.m3u8?cdn=bestzb
浙江卫视,http://127.0.0.1/itv/1000000001000014260.m3u8?cdn=ystenlive
浙江卫视,http://127.0.0.1/itv/1000000005000265031.m3u8?cdn=ystenlive
重庆卫视,http://127.0.0.1/itv/1000000001000001096.m3u8?cdn=ystenlive
重庆卫视,http://127.0.0.1/itv/1000000005000265017.m3u8?cdn=ystenlive
华数-4K,http://127.0.0.1/itv/6000000003000004748.m3u8?cdn=wasusyt
纯享-4K,http://127.0.0.1/itv/1000000004000011651.m3u8?cdn=ystenlive
咪咕4K-1,http://127.0.0.1/itv/3000000010000005180.m3u8?cdn=FifastbLive
咪咕4K-2,http://127.0.0.1/itv/3000000010000015686.m3u8?cdn=FifastbLive
Love Nature 4K,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
Loupe 4K,https://d2dw21aq0j0l5c.cloudfront.net/playlist_3840x2160.m3u8
Fashion 4K,https://fash2043.cloudycdn.services/slive/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/playlist.m3u8
咪咕全民热练,http://127.0.0.1/itv/3000000020000031315.m3u8?cdn=FifastbLive
求索动物,http://127.0.0.1/itv/6000000002000010046.m3u8?cdn=wasusyt
求索纪录,http://127.0.0.1/itv/6000000002000032052.m3u8?cdn=wasusyt
求索科学,http://127.0.0.1/itv/6000000002000032344.m3u8?cdn=wasusyt
求索生活,http://127.0.0.1/itv/6000000002000003382.m3u8?cdn=wasusyt
NewTV-精品综合,http://127.0.0.1/itv/1000000004000019008.m3u8?cdn=ystenlive
NewTV-精品大剧,http://127.0.0.1/itv/1000000004000013968.m3u8?cdn=ystenlive
NewTV-精品纪录,http://127.0.0.1/itv/1000000004000013730.m3u8?cdn=ystenlive
NewTV-精品体育,http://127.0.0.1/itv/1000000004000014634.m3u8?cdn=ystenlive
NewTV-精品萌宠,http://127.0.0.1/itv/1000000006000032328.m3u8?cdn=ystenlive
NewTV-爱情喜剧,http://127.0.0.1/itv/2000000003000000010.m3u8?cdn=hnbblive
NewTV-超级电视剧,http://127.0.0.1/itv/1000000006000268003.m3u8?cdn=ystenlive
NewTV-超级电影,http://127.0.0.1/itv/1000000003000012426.m3u8?cdn=ystenlive
NewTV-超级体育,http://127.0.0.1/itv/1000000001000009601.m3u8?cdn=ystenlive
NewTV-超级综艺,http://127.0.0.1/itv/1000000006000268002.m3u8?cdn=ystenlive
NewTV-潮妈辣婆,http://127.0.0.1/itv/2000000003000000018.m3u8?cdn=hnbblive
NewTV-东北热剧,http://127.0.0.1/itv/1000000005000266013.m3u8?cdn=ystenlive
NewTV-动作电影,http://127.0.0.1/itv/1000000004000018653.m3u8?cdn=ystenlive
NewTV-古装剧场,http://127.0.0.1/itv/2000000003000000024.m3u8?cdn=hnbblive
NewTV-欢乐剧场,http://127.0.0.1/itv/1000000005000266012.m3u8?cdn=ystenlive
NewTV-家庭剧场,http://127.0.0.1/itv/1000000004000008284.m3u8?cdn=ystenlive
NewTV-金牌综艺,http://127.0.0.1/itv/1000000004000026167.m3u8?cdn=ystenlive
NewTV-惊悚悬疑,http://127.0.0.1/itv/1000000004000024282.m3u8?cdn=ystenlive
NewTV-军旅剧场,http://127.0.0.1/itv/2000000003000000014.m3u8?cdn=hnbblive
NewTV-军事评论,http://127.0.0.1/itv/2000000003000000022.m3u8?cdn=hnbblive
NewTV-魅力潇湘,http://127.0.0.1/itv/1000000001000006197.m3u8?cdn=ystenlive
NewTV-明星大片,http://127.0.0.1/itv/2000000003000000016.m3u8?cdn=hnbblive
NewTV-农业致富,http://127.0.0.1/itv/2000000003000000003.m3u8?cdn=hnbblive
NewTV-武博世界,http://127.0.0.1/itv/2000000003000000007.m3u8?cdn=hnbblive
NewTV-炫舞未来,http://127.0.0.1/itv/1000000001000000515.m3u8?cdn=ystenlive
NewTV-怡伴健康,http://127.0.0.1/itv/1000000005000266011.m3u8?cdn=ystenlive
NewTV-中国功夫,http://127.0.0.1/itv/2000000003000000009.m3u8?cdn=hnbblive
NewTV-黑莓电影,http://127.0.0.1/itv/1000000004000019624.m3u8?cdn=ystenlive
NewTV-黑莓动画,http://127.0.0.1/itv/1000000004000021734.m3u8?cdn=ystenlive
NewTV-哒啵电竞,http://127.0.0.1/itv/1000000006000032327.m3u8?cdn=ystenlive
NewTV-哒啵赛事,http://127.0.0.1/itv/1000000001000003775.m3u8?cdn=ystenlive
SiTV-动漫秀场,http://127.0.0.1/itv/5000000011000031113.m3u8?cdn=bestzb
SiTV-都市剧场,http://127.0.0.1/itv/5000000011000031111.m3u8?cdn=bestzb
SiTV-法治天地,http://127.0.0.1/itv/9001547084732463424.m3u8?cdn=bestzb
SiTV-欢笑剧场,http://127.0.0.1/itv/5000000002000009455.m3u8?cdn=bestzb
SiTV-欢笑剧场-4K,http://127.0.0.1/itv/5000000007000010001.m3u8?cdn=bestzb
SiTV-金色学堂,http://127.0.0.1/itv/5000000010000026105.m3u8?cdn=bestzb
SiTV-劲爆体育,http://127.0.0.1/itv/5000000002000029972.m3u8?cdn=bestzb
SiTV-乐游,http://127.0.0.1/itv/5000000011000031112.m3u8?cdn=bestzb
SiTV-魅力足球,http://127.0.0.1/itv/5000000011000031207.m3u8?cdn=bestzb
SiTV-七彩戏剧,http://127.0.0.1/itv/5000000011000031116.m3u8?cdn=bestzb
SiTV-生活时尚,http://127.0.0.1/itv/5000000002000019634.m3u8?cdn=bestzb
SiTV-游戏风云,http://127.0.0.1/itv/5000000011000031114.m3u8?cdn=bestzb
iHOT-爱电竞,http://127.0.0.1/itv/6000000006000230630.m3u8?cdn=wasusyt
iHOT-爱谍战,http://127.0.0.1/itv/6000000006000070630.m3u8?cdn=wasusyt
iHOT-爱动漫,http://127.0.0.1/itv/6000000006000280630.m3u8?cdn=wasusyt
